#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
18534981|2018-03-28T07:36:52.520000|45.8768|11.8432|10.4|SURVEY-INGV||||ML|3.0|--|4 km NW Possagno (TV)
18562301|2018-03-31T01:18:44.440000|42.3528|13.4697|18.8|BULLETIN-INGV||||Mw|3.8|--|6 km E L'Aquila (AQ)
18586861|2018-04-02T22:44:13.640000|37.2727|20.6743|152.2|SURVEY-INGV||||ML|3.5|--|Mar Ionio Meridionale (MARE)
18588491|2018-04-03T07:03:40.560000|43.0682|13.0465|8.8|SURVEY-INGV||||ML|3.2|--|2 km S Muccia (MC)
18596591|2018-04-04T02:19:45.510000|43.0598|13.0312|7.8|BULLETIN-INGV||||Mw|4.0|--|2 km NW Pieve Torina (MC)
18608661|2018-04-04T18:41:28.710000|43.0657|13.0298|8.1|BULLETIN-INGV||||Mw|3.6|--|2 km SW Muccia (MC)
18616651|2018-04-05T08:44:19.520000|43.0673|13.0307|8.5|SURVEY-INGV||||ML|3.0|--|2 km SW Muccia (MC)
18625391|2018-04-06T01:22:37.810000|40.6818|15.4508|9.1|SURVEY-INGV||||ML|3.2|--|3 km W Ricigliano (SA)
18656171|2018-04-08T14:37:33.200000|39.1102|19.9592|38.2|SURVEY-INGV||||ML|4.0|--|Costa Greca Ionica (GRECIA)
18673351|2018-04-10T03:11:30.760000|43.0687|13.0365|8.1|BULLETIN-INGV||||Mw|4.6|--|2 km SW Muccia (MC)
18675521|2018-04-10T03:46:15.500000|43.0632|13.0448|8.1|BULLETIN-INGV||||ML|3.5|--|2 km N Pieve Torina (MC)
18676861|2018-04-10T04:03:36.270000|43.0625|13.0455|8.2|BULLETIN-INGV||||ML|3.5|--|2 km N Pieve Torina (MC)
18678961|2018-04-10T04:49:40.050000|42.2738|13.4408|10.4|BULLETIN-INGV||||Mw|3.5|--|3 km W Ocre (AQ)
18697911|2018-04-10T13:11:22.860000|38.8212|14.85|241.2|SURVEY-INGV||||ML|3.1|--|Tirreno Meridionale (MARE)
18698081|2018-04-10T13:17:08.000000|40.3127|19.4145|9.2|SURVEY-INGV||||ML|3.7|--|Costa Albanese meridionale (ALBANIA)
18703001|2018-04-10T15:56:19.867000|36.6346|26.2551|10.0|SURVEY-INGV-A||||mb|5.0|--|Dodecanese Islands, Greece [Sea: Greece]
18717581|2018-04-11T00:00:50.500000|43.0532|13.0223|7.5|BULLETIN-INGV||||Mw|3.3|--|3 km W Pieve Torina (MC)
